PuzzleId,FEN,Moves,Rating,Themes
0H2nn,5r2/p1r2k2/1pNp3p/3Pp1b1/1P2Pp2/2R4P/P1R2KP1/8 b - - 6 32,f7g6 c6e5 d6e5 c3c7,1353,crushing discoveredAttack endgame short
0Zuu0,r1bqk2r/ppppb1pp/3n1p2/4R2Q/8/3B4/PPPP1PPP/RNB3K1 b kq - 1 9,g7g6 d3g6 h7g6 h5h8,1364,crushing opening short
01LGS,2R5/p5pk/2p1r1q1/4p1pn/1P4Q1/P4P1P/6P1/2R4K w - - 7 37,g4e4 h5g3 h1h2 g3e4,939,crushing endgame fork short
0CuDs,2b5/8/1P1P2kp/8/8/3p4/5K1P/8 b - - 1 46,g6f6 d6d7 c8d7 b6b7,1264,advancedPawn bishopEndgame crushing endgame short
0UHIN,8/6p1/7p/8/1P2pk2/P1R4P/r5PK/8 w - - 0 35,c3b3 e4e3 b4b5 e3e2,1262,advancedPawn crushing endgame rookEndgame short
046xJ,6rk/p4Qp1/4P2p/8/7q/4P3/PP3p1P/6RK w - - 0 34,g1f1 h4e4 f7f3 e4f3,1085,endgame mate mateIn2 short
0DbVS,8/8/7p/p5k1/P3B1P1/2p2P2/2Kb4/8 w - - 2 43,e4f5 h6h5 f5d3 h5h4,1822,bishopEndgame crushing defensiveMove endgame short
00mLw,r5k1/p5pp/1p2b2r/3p4/2pQ1P1q/2P1P2P/P1P1B1P1/R5K1 b - - 0 25,e6h3 d4d5 h3e6 d5a8,1193,advantage fork middlegame short
0BmwD,r2q2k1/5ppp/1p2p3/2P5/3p4/1P2PP2/P3QP1P/2R3K1 w - - 0 27,e3d4 d8g5 g1f1 g5c1,1114,crushing endgame fork short
0EKcD,r4rk1/1p1q1pb1/p2p4/2pPn2p/P3P2p/2P4P/1PB4K/RNB1QR2 w - - 2 18,f1g1 e5f3 h2g2 f3e1,944,crushing fork middlegame short
03HO5,r5k1/ppQbRp1p/3P1p2/1q6/3P4/2P2P2/P5PP/6K1 b - - 2 21,a8e8 c7d7 b5b1 g1f2,1634,crushing endgame short
0XLvc,8/3r1k1p/pp4p1/1b6/1P2pN2/P3P2P/5PPK/2R5 w - - 0 34,h2g3 g6g5 h3h4 g5f4,1371,advantage endgame short
02UDX,6r1/2p2p1k/1p2nr1p/pPb1p3/P1P1P3/3P2PP/R4PK1/3Q2R1 w - - 3 30,d1h5 e6f4 g2h2 f4h5,1608,crushing middlegame pin short
0M0ka,1r4k1/2qb1ppp/n3p3/3pP3/8/2P1BN2/1P3PPP/3Q1RK1 w - - 1 18,d1d3 d7b5 d3b1 b5f1,1310,advantage middlegame short skewer
0UrRF,2r2rk1/p4ppp/5n2/4q3/8/3BPQ2/PP2KPPP/R6R w - - 0 17,g2g4 e5b2 e2f1 b2a1,1069,crushing interference middlegame short
0RPyE,8/5pkp/pR1p2p1/2pPn3/2P5/P4P1P/3Nn1P1/4rNK1 w - - 3 31,g1f2 e5d3 f2e3 e2c1,1477,discoveredAttack discoveredCheck endgame epauletteMate mate mateIn2 short
09fQL,r2r4/p5p1/R4p1p/1k1n4/1p1p4/8/2PB1PPP/R5K1 b - - 2 23,d5c3 a1a5 b5c4 a6c6,1133,endgame epauletteMate mate mateIn2 short
07hB8,6k1/5pp1/7p/7P/1pPR1P2/r3r3/1K1R2P1/8 w - - 4 38,d2c2 e3b3 b2c1 a3a1,1033,crushing endgame rookEndgame short
07Qdg,r4r1k/3nNBpp/p7/q3b1B1/8/5Q2/PP3PP1/2R4K b - - 0 21,e5f6 e7g6 h7g6 f3h3,1556,mate mateIn2 middlegame sacrifice short
02qLW,5rk1/5p2/4q1pK/4P1Qp/6P1/7P/8/8 b - - 0 50,e6d7 g5f6 d7d2 g4g5,1353,crushing defensiveMove endgame master short
0SUnF,8/p6p/4Q1pk/8/8/1P4qP/P7/7K w - - 0 47,e6g4 g3g4 h3g4 h6g5,1557,crushing endgame master queenEndgame short
0CFiu,7R/4P3/8/2Bp4/p2P1kp1/P4P2/6PK/4r3 w - - 0 51,e7e8q g4g3 h2h3 e1h1,1172,endgame mate mateIn2 short
0AkCK,r6k/pp1b4/4pNrp/4Pn2/3P2P1/P7/5P1P/R2R1K2 b - - 2 32,d7c6 g4f5 c6b5 f1e1,1449,advantage middlegame short
0EsdW,8/5pk1/3RnR2/r3P1p1/p7/4K3/P7/8 w - - 8 56,d6d7 a5e5 e3f2 g7f6,1229,crushing endgame short
